,0
2016-05-30,609.3712274942234
2016-05-31,621.7820230840119
2016-06-01,620.5258745489577
2016-06-02,571.9201013373558
2016-06-03,593.7841544798647
2016-06-06,608.2145400083787
2016-06-07,606.4002232465864
2016-06-08,656.772958844331
2016-06-09,613.2594132678886
2016-06-10,464.66531266475226
2016-06-13,563.0463078410014
2016-06-14,578.9765546456159
2016-06-15,609.3712274942234
2016-06-16,621.7820230840119
2016-06-17,620.5258745489577
2016-06-20,571.9201013373558
2016-06-21,593.7841544798647
2016-06-22,608.2145400083787
2016-06-23,606.4002232465864
2016-06-24,656.772958844331
2016-06-27,613.2594132678886
2016-06-28,464.66531266475226
2016-06-29,563.0463078410014
2016-06-30,578.9765546456159
2016-07-01,609.3712274942234
2016-07-04,621.7820230840119
2016-07-05,620.5258745489577
2016-07-06,571.9201013373558
2016-07-07,593.7841544798647
2016-07-08,608.2145400083787
2016-07-11,606.4002232465864
2016-07-12,656.772958844331
2016-07-13,613.2594132678886
2016-07-14,464.66531266475226
2016-07-15,563.0463078410014
2016-07-18,578.9765546456159
2016-07-19,609.3712274942234
2016-07-20,621.7820230840119
2016-07-21,620.5258745489577
2016-07-22,571.9201013373558
2016-07-25,593.7841544798647
2016-07-26,608.2145400083787
2016-07-27,606.4002232465864
2016-07-28,656.772958844331
2016-07-29,613.2594132678886
2016-08-01,464.66531266475226
2016-08-02,563.0463078410014
2016-08-03,578.9765546456159
2016-08-04,609.3712274942234
2016-08-05,621.7820230840119
2016-08-08,620.5258745489577
2016-08-09,571.9201013373558
2016-08-10,593.7841544798647
2016-08-11,608.2145400083787
2016-08-12,606.4002232465864
2016-08-15,656.772958844331
2016-08-16,613.2594132678886
2016-08-17,464.66531266475226
2016-08-18,563.0463078410014
2016-08-19,578.9765546456159
2016-08-22,609.3712274942234
2016-08-23,621.7820230840119
2016-08-24,620.5258745489577
2016-08-25,571.9201013373558
2016-08-26,593.7841544798647
2016-08-29,608.2145400083787
2016-08-30,606.4002232465864
2016-08-31,656.772958844331
2016-09-01,613.2594132678886
2016-09-02,464.66531266475226
2016-09-05,563.0463078410014
2016-09-06,578.9765546456159
2016-09-07,609.3712274942234
2016-09-08,621.7820230840119
2016-09-09,620.5258745489577
2016-09-12,571.9201013373558
2016-09-13,593.7841544798647
2016-09-14,608.2145400083787
2016-09-15,606.4002232465864
2016-09-16,656.772958844331
2016-09-19,613.2594132678886
2016-09-20,464.66531266475226
2016-09-21,563.0463078410014
2016-09-22,578.9765546456159
2016-09-23,609.3712274942234
2016-09-26,621.7820230840119
2016-09-27,620.5258745489577
2016-09-28,571.9201013373558
2016-09-29,593.7841544798647
2016-09-30,608.2145400083787
2016-10-03,606.4002232465864
2016-10-04,656.772958844331
2016-10-05,613.2594132678886
2016-10-06,464.66531266475226
2016-10-07,563.0463078410014
2016-10-10,578.9765546456159
2016-10-11,609.3712274942234
2016-10-12,621.7820230840119
2016-10-13,620.5258745489577
2016-10-14,571.9201013373558
2016-10-17,593.7841544798647
2016-10-18,608.2145400083787
2016-10-19,606.4002232465864
2016-10-20,656.772958844331
2016-10-21,613.2594132678886
2016-10-24,464.66531266475226
2016-10-25,563.0463078410014
2016-10-26,578.9765546456159
2016-10-27,609.3712274942234
2016-10-28,621.7820230840119
2016-10-31,620.5258745489577
2016-11-01,571.9201013373558
2016-11-02,593.7841544798647
2016-11-03,608.2145400083787
2016-11-04,606.4002232465864
2016-11-07,656.772958844331
2016-11-08,613.2594132678886
2016-11-09,464.66531266475226
2016-11-10,563.0463078410014
2016-11-11,578.9765546456159
2016-11-14,609.3712274942234
2016-11-15,621.7820230840119
2016-11-16,620.5258745489577
2016-11-17,571.9201013373558
2016-11-18,593.7841544798647
2016-11-21,608.2145400083787
2016-11-22,606.4002232465864
2016-11-23,656.772958844331
2016-11-24,613.2594132678886
2016-11-25,464.66531266475226
2016-11-28,563.0463078410014
2016-11-29,578.9765546456159
2016-11-30,609.3712274942234
2016-12-01,621.7820230840119
2016-12-02,620.5258745489577
2016-12-05,571.9201013373558
2016-12-06,593.7841544798647
2016-12-07,608.2145400083787
2016-12-08,606.4002232465864
2016-12-09,656.772958844331
2016-12-12,613.2594132678886
2016-12-13,464.66531266475226
2016-12-14,563.0463078410014
2016-12-15,578.9765546456159
2016-12-16,609.3712274942234
2016-12-19,621.7820230840119
2016-12-20,620.5258745489577
2016-12-21,571.9201013373558
2016-12-22,593.7841544798647
2016-12-23,608.2145400083787
2016-12-26,606.4002232465864
2016-12-27,656.772958844331
2016-12-28,613.2594132678886
2016-12-29,464.66531266475226
