,Unnamed: 0,store_nbr,month,family,item_nbr,item_sales,family_sales
591,591,1,1,BREAD/BAKERY,983310,309.0,52500.438
592,592,1,1,BREAD/BAKERY,986193,687.0,52500.438
593,593,1,1,BREAD/BAKERY,1033395,585.0,52500.438
594,594,1,1,BREAD/BAKERY,1038937,464.0,52500.438
595,595,1,1,BREAD/BAKERY,1038945,579.0,52500.438
596,596,1,1,BREAD/BAKERY,1038946,485.0,52500.438
597,597,1,1,BREAD/BAKERY,1038950,435.0,52500.438
598,598,1,1,BREAD/BAKERY,1038952,668.0,52500.438
599,599,1,1,BREAD/BAKERY,1038953,458.0,52500.438
600,600,1,1,BREAD/BAKERY,1038954,42.0,52500.438
601,601,1,1,BREAD/BAKERY,1038962,499.0,52500.438
602,602,1,1,BREAD/BAKERY,1045449,348.0,52500.438
603,603,1,1,BREAD/BAKERY,1072173,382.0,52500.438
604,604,1,1,BREAD/BAKERY,1089843,633.0,52500.438
605,605,1,1,BREAD/BAKERY,1089844,441.0,52500.438
606,606,1,1,BREAD/BAKERY,1092008,89.0,52500.438
607,607,1,1,BREAD/BAKERY,1149579,351.0,52500.438
608,608,1,1,BREAD/BAKERY,1179117,279.0,52500.438
609,609,1,1,BREAD/BAKERY,1179119,170.0,52500.438
610,610,1,1,BREAD/BAKERY,1179579,462.0,52500.438
611,611,1,1,BREAD/BAKERY,1179580,418.0,52500.438
612,612,1,1,BREAD/BAKERY,1179581,261.0,52500.438
613,613,1,1,BREAD/BAKERY,1210038,365.0,52500.438
614,614,1,1,BREAD/BAKERY,1279049,601.0,52500.438
615,615,1,1,BREAD/BAKERY,1303141,269.0,52500.438
616,616,1,1,BREAD/BAKERY,1309245,655.0,52500.438
617,617,1,1,BREAD/BAKERY,1309246,1329.0,52500.438
618,618,1,1,BREAD/BAKERY,1309560,201.0,52500.438
619,619,1,1,BREAD/BAKERY,1313222,585.0,52500.438
620,620,1,1,BREAD/BAKERY,1313223,901.0,52500.438
621,621,1,1,BREAD/BAKERY,1321497,285.0,52500.438
622,622,1,1,BREAD/BAKERY,1333307,1721.0,52500.438
623,623,1,1,BREAD/BAKERY,1415679,163.0,52500.438
624,624,1,1,BREAD/BAKERY,1453122,159.0,52500.438
625,625,1,1,BREAD/BAKERY,1453123,114.0,52500.438
626,626,1,1,BREAD/BAKERY,1453124,121.0,52500.438
627,627,1,1,BREAD/BAKERY,1454707,112.0,52500.438
628,628,1,1,BREAD/BAKERY,1454708,158.0,52500.438
629,629,1,1,BREAD/BAKERY,1457840,321.0,52500.438
630,630,1,1,BREAD/BAKERY,1916577,225.0,52500.438
631,631,1,1,BREAD/BAKERY,1916578,69.0,52500.438
632,632,1,1,BREAD/BAKERY,1916579,90.0,52500.438
633,633,1,1,BREAD/BAKERY,1932980,156.0,52500.438
634,634,1,1,BREAD/BAKERY,1940454,67.0,52500.438
635,635,1,1,BREAD/BAKERY,1958713,113.0,52500.438
636,636,1,1,BREAD/BAKERY,1963740,78.0,52500.438
637,637,1,1,BREAD/BAKERY,1973454,79.0,52500.438
638,638,1,1,BREAD/BAKERY,1973543,34.0,52500.438
639,639,1,1,BREAD/BAKERY,1973587,66.0,52500.438
640,640,1,1,BREAD/BAKERY,1978835,589.0,52500.438
641,641,1,1,BREAD/BAKERY,1989798,110.0,52500.438
642,642,1,1,BREAD/BAKERY,1998005,342.0,52500.438
3881,3881,1,2,BREAD/BAKERY,103665,394.0,45844.324
3882,3882,1,2,BREAD/BAKERY,153239,84.0,45844.324
3883,3883,1,2,BREAD/BAKERY,153395,149.0,45844.324
3884,3884,1,2,BREAD/BAKERY,153398,489.0,45844.324
3885,3885,1,2,BREAD/BAKERY,165718,285.0,45844.324
3886,3886,1,2,BREAD/BAKERY,215370,310.0,45844.324
3887,3887,1,2,BREAD/BAKERY,253103,32.0,45844.324
3888,3888,1,2,BREAD/BAKERY,265279,588.0,45844.324
3889,3889,1,2,BREAD/BAKERY,269084,364.0,45844.324
3890,3890,1,2,BREAD/BAKERY,302952,337.0,45844.324
3891,3891,1,2,BREAD/BAKERY,310644,2193.0,45844.324
3892,3892,1,2,BREAD/BAKERY,310647,152.0,45844.324
3893,3893,1,2,BREAD/BAKERY,311994,3654.323,45844.324
3894,3894,1,2,BREAD/BAKERY,312113,347.0,45844.324
3895,3895,1,2,BREAD/BAKERY,315474,479.0,45844.324
3896,3896,1,2,BREAD/BAKERY,359913,533.0,45844.324
3897,3897,1,2,BREAD/BAKERY,360313,354.0,45844.324
3898,3898,1,2,BREAD/BAKERY,360314,881.0,45844.324
3899,3899,1,2,BREAD/BAKERY,409738,1027.0,45844.324
3900,3900,1,2,BREAD/BAKERY,409739,157.0,45844.324
3901,3901,1,2,BREAD/BAKERY,414478,149.0,45844.324
3902,3902,1,2,BREAD/BAKERY,452212,944.0,45844.324
3903,3903,1,2,BREAD/BAKERY,459762,391.0,45844.324
3904,3904,1,2,BREAD/BAKERY,464385,308.0,45844.324
3905,3905,1,2,BREAD/BAKERY,502182,202.0,45844.324
3906,3906,1,2,BREAD/BAKERY,502331,2651.0,45844.324
3907,3907,1,2,BREAD/BAKERY,511172,40.0,45844.324
3908,3908,1,2,BREAD/BAKERY,552050,147.0,45844.324
3909,3909,1,2,BREAD/BAKERY,559044,472.0,45844.324
3910,3910,1,2,BREAD/BAKERY,559494,390.0,45844.324
3911,3911,1,2,BREAD/BAKERY,564287,1192.0,45844.324
3912,3912,1,2,BREAD/BAKERY,564288,494.0,45844.324
3913,3913,1,2,BREAD/BAKERY,594045,163.0,45844.324
3914,3914,1,2,BREAD/BAKERY,679602,360.0,45844.324
3915,3915,1,2,BREAD/BAKERY,679603,205.0,45844.324
3916,3916,1,2,BREAD/BAKERY,679604,290.0,45844.324
3917,3917,1,2,BREAD/BAKERY,696183,162.0,45844.324
3918,3918,1,2,BREAD/BAKERY,724360,547.0,45844.324
3919,3919,1,2,BREAD/BAKERY,724403,459.0,45844.324
3920,3920,1,2,BREAD/BAKERY,736128,380.0,45844.324
3921,3921,1,2,BREAD/BAKERY,809882,528.0,45844.324
3922,3922,1,2,BREAD/BAKERY,823245,449.0,45844.324
3923,3923,1,2,BREAD/BAKERY,830806,371.0,45844.324
3924,3924,1,2,BREAD/BAKERY,841197,2493.0,45844.324
3925,3925,1,2,BREAD/BAKERY,847894,833.0,45844.324
3926,3926,1,2,BREAD/BAKERY,858872,78.0,45844.324
3927,3927,1,2,BREAD/BAKERY,888682,834.0,45844.324
3928,3928,1,2,BREAD/BAKERY,888689,335.0,45844.324
3929,3929,1,2,BREAD/BAKERY,913526,72.0,45844.324
3930,3930,1,2,BREAD/BAKERY,983310,152.0,45844.324
3931,3931,1,2,BREAD/BAKERY,986193,753.0,45844.324
3932,3932,1,2,BREAD/BAKERY,1033395,560.0,45844.324
3933,3933,1,2,BREAD/BAKERY,1038937,369.0,45844.324
3934,3934,1,2,BREAD/BAKERY,1038945,556.0,45844.324
3935,3935,1,2,BREAD/BAKERY,1038946,442.0,45844.324
3936,3936,1,2,BREAD/BAKERY,1038950,391.0,45844.324
3937,3937,1,2,BREAD/BAKERY,1038952,650.0,45844.324
3938,3938,1,2,BREAD/BAKERY,1038953,468.0,45844.324
3939,3939,1,2,BREAD/BAKERY,1038954,74.0,45844.324
3940,3940,1,2,BREAD/BAKERY,1038962,447.0,45844.324
3941,3941,1,2,BREAD/BAKERY,1045449,336.0,45844.324
3942,3942,1,2,BREAD/BAKERY,1072173,373.0,45844.324
3943,3943,1,2,BREAD/BAKERY,1089843,568.0,45844.324
3944,3944,1,2,BREAD/BAKERY,1089844,425.0,45844.324
3945,3945,1,2,BREAD/BAKERY,1092008,109.0,45844.324
3946,3946,1,2,BREAD/BAKERY,1149579,345.0,45844.324
3947,3947,1,2,BREAD/BAKERY,1179117,229.0,45844.324
3948,3948,1,2,BREAD/BAKERY,1179119,71.0,45844.324
3949,3949,1,2,BREAD/BAKERY,1179579,329.0,45844.324
3950,3950,1,2,BREAD/BAKERY,1179580,358.0,45844.324
3951,3951,1,2,BREAD/BAKERY,1179581,264.0,45844.324
3952,3952,1,2,BREAD/BAKERY,1210038,329.0,45844.324
3953,3953,1,2,BREAD/BAKERY,1279049,547.0,45844.324
3954,3954,1,2,BREAD/BAKERY,1303141,225.0,45844.324
3955,3955,1,2,BREAD/BAKERY,1309245,650.0,45844.324
3956,3956,1,2,BREAD/BAKERY,1309246,853.0,45844.324
3957,3957,1,2,BREAD/BAKERY,1309560,190.0,45844.324
3958,3958,1,2,BREAD/BAKERY,1313222,473.0,45844.324
3959,3959,1,2,BREAD/BAKERY,1313223,760.0,45844.324
3960,3960,1,2,BREAD/BAKERY,1321497,247.0,45844.324
3961,3961,1,2,BREAD/BAKERY,1333307,1330.0,45844.324
3962,3962,1,2,BREAD/BAKERY,1415679,143.0,45844.324
3963,3963,1,2,BREAD/BAKERY,1453122,96.0,45844.324
3964,3964,1,2,BREAD/BAKERY,1453123,152.0,45844.324
3965,3965,1,2,BREAD/BAKERY,1453124,230.0,45844.324
3966,3966,1,2,BREAD/BAKERY,1454707,78.0,45844.324
3967,3967,1,2,BREAD/BAKERY,1454708,124.0,45844.324
3968,3968,1,2,BREAD/BAKERY,1457840,244.0,45844.324
3969,3969,1,2,BREAD/BAKERY,1916577,235.0,45844.324
3970,3970,1,2,BREAD/BAKERY,1916578,89.0,45844.324
3971,3971,1,2,BREAD/BAKERY,1916579,131.0,45844.324
3972,3972,1,2,BREAD/BAKERY,1932980,126.0,45844.324
3973,3973,1,2,BREAD/BAKERY,1940454,69.0,45844.324
3974,3974,1,2,BREAD/BAKERY,1958713,203.0,45844.324
3975,3975,1,2,BREAD/BAKERY,1963740,236.0,45844.324
3976,3976,1,2,BREAD/BAKERY,1973454,34.0,45844.324
3977,3977,1,2,BREAD/BAKERY,1973543,38.0,45844.324
3978,3978,1,2,BREAD/BAKERY,1973587,21.0,45844.324
3979,3979,1,2,BREAD/BAKERY,1978835,504.0,45844.324
3980,3980,1,2,BREAD/BAKERY,1989798,74.0,45844.324
3981,3981,1,2,BREAD/BAKERY,1998005,396.0,45844.324
7231,7231,1,3,BREAD/BAKERY,103665,442.0,53014.508
7232,7232,1,3,BREAD/BAKERY,153239,172.0,53014.508
7233,7233,1,3,BREAD/BAKERY,153395,219.0,53014.508
7234,7234,1,3,BREAD/BAKERY,153398,429.0,53014.508
7235,7235,1,3,BREAD/BAKERY,165718,433.0,53014.508
7236,7236,1,3,BREAD/BAKERY,215370,399.0,53014.508
7237,7237,1,3,BREAD/BAKERY,253103,63.0,53014.508
7238,7238,1,3,BREAD/BAKERY,265279,644.0,53014.508
7239,7239,1,3,BREAD/BAKERY,269084,390.0,53014.508
7240,7240,1,3,BREAD/BAKERY,302952,340.0,53014.508
7241,7241,1,3,BREAD/BAKERY,310644,2461.0,53014.508
7242,7242,1,3,BREAD/BAKERY,310647,176.0,53014.508
7243,7243,1,3,BREAD/BAKERY,311994,3917.509,53014.508
7244,7244,1,3,BREAD/BAKERY,312113,340.0,53014.508
7245,7245,1,3,BREAD/BAKERY,315474,553.0,53014.508
7246,7246,1,3,BREAD/BAKERY,359913,619.0,53014.508
7247,7247,1,3,BREAD/BAKERY,360313,450.0,53014.508
7248,7248,1,3,BREAD/BAKERY,360314,1191.0,53014.508
7249,7249,1,3,BREAD/BAKERY,402299,105.0,53014.508
7250,7250,1,3,BREAD/BAKERY,409738,1192.0,53014.508
7251,7251,1,3,BREAD/BAKERY,409739,208.0,53014.508
7252,7252,1,3,BREAD/BAKERY,414478,323.0,53014.508
7253,7253,1,3,BREAD/BAKERY,452212,1159.0,53014.508
7254,7254,1,3,BREAD/BAKERY,459762,455.0,53014.508
7255,7255,1,3,BREAD/BAKERY,464385,418.0,53014.508
7256,7256,1,3,BREAD/BAKERY,502182,165.0,53014.508
7257,7257,1,3,BREAD/BAKERY,502331,3042.0,53014.508
7258,7258,1,3,BREAD/BAKERY,511172,30.0,53014.508
7259,7259,1,3,BREAD/BAKERY,552050,139.0,53014.508
7260,7260,1,3,BREAD/BAKERY,559044,428.0,53014.508
7261,7261,1,3,BREAD/BAKERY,559494,454.0,53014.508
7262,7262,1,3,BREAD/BAKERY,564287,1268.0,53014.508
7263,7263,1,3,BREAD/BAKERY,564288,733.0,53014.508
7264,7264,1,3,BREAD/BAKERY,594045,190.0,53014.508
7265,7265,1,3,BREAD/BAKERY,679602,412.0,53014.508
7266,7266,1,3,BREAD/BAKERY,679603,331.0,53014.508
7267,7267,1,3,BREAD/BAKERY,679604,305.0,53014.508
7268,7268,1,3,BREAD/BAKERY,696183,287.0,53014.508
7269,7269,1,3,BREAD/BAKERY,724360,575.0,53014.508
7270,7270,1,3,BREAD/BAKERY,724403,410.0,53014.508
7271,7271,1,3,BREAD/BAKERY,736128,334.0,53014.508
7272,7272,1,3,BREAD/BAKERY,809882,535.0,53014.508
7273,7273,1,3,BREAD/BAKERY,823245,426.0,53014.508
7274,7274,1,3,BREAD/BAKERY,830806,396.0,53014.508
7275,7275,1,3,BREAD/BAKERY,841197,2888.0,53014.508
7276,7276,1,3,BREAD/BAKERY,847894,1011.0,53014.508
7277,7277,1,3,BREAD/BAKERY,858872,113.0,53014.508
7278,7278,1,3,BREAD/BAKERY,888682,898.0,53014.508
7279,7279,1,3,BREAD/BAKERY,888689,585.0,53014.508
7280,7280,1,3,BREAD/BAKERY,913526,87.0,53014.508
7281,7281,1,3,BREAD/BAKERY,983310,250.0,53014.508
7282,7282,1,3,BREAD/BAKERY,986193,605.0,53014.508
7283,7283,1,3,BREAD/BAKERY,1033395,675.0,53014.508
7284,7284,1,3,BREAD/BAKERY,1038937,425.0,53014.508
7285,7285,1,3,BREAD/BAKERY,1038945,540.0,53014.508
7286,7286,1,3,BREAD/BAKERY,1038946,472.0,53014.508
7287,7287,1,3,BREAD/BAKERY,1038950,389.0,53014.508
7288,7288,1,3,BREAD/BAKERY,1038952,749.0,53014.508
7289,7289,1,3,BREAD/BAKERY,1038953,479.0,53014.508
7290,7290,1,3,BREAD/BAKERY,1038954,131.0,53014.508
7291,7291,1,3,BREAD/BAKERY,1038962,468.0,53014.508
7292,7292,1,3,BREAD/BAKERY,1045449,374.0,53014.508
7293,7293,1,3,BREAD/BAKERY,1072173,420.0,53014.508
7294,7294,1,3,BREAD/BAKERY,1089843,680.0,53014.508
7295,7295,1,3,BREAD/BAKERY,1089844,385.0,53014.508
7296,7296,1,3,BREAD/BAKERY,1092008,136.0,53014.508
7297,7297,1,3,BREAD/BAKERY,1149579,386.0,53014.508
7298,7298,1,3,BREAD/BAKERY,1179117,251.0,53014.508
7299,7299,1,3,BREAD/BAKERY,1179119,98.0,53014.508
7300,7300,1,3,BREAD/BAKERY,1179579,367.0,53014.508
7301,7301,1,3,BREAD/BAKERY,1179580,343.0,53014.508
7302,7302,1,3,BREAD/BAKERY,1179581,341.0,53014.508
7303,7303,1,3,BREAD/BAKERY,1210038,367.0,53014.508
7304,7304,1,3,BREAD/BAKERY,1279049,597.0,53014.508
7305,7305,1,3,BREAD/BAKERY,1303141,296.0,53014.508
7306,7306,1,3,BREAD/BAKERY,1309245,724.0,53014.508
7307,7307,1,3,BREAD/BAKERY,1309246,1431.0,53014.508
7308,7308,1,3,BREAD/BAKERY,1309560,218.0,53014.508
7309,7309,1,3,BREAD/BAKERY,1313222,519.0,53014.508
7310,7310,1,3,BREAD/BAKERY,1313223,824.0,53014.508
7311,7311,1,3,BREAD/BAKERY,1321497,286.0,53014.508
7312,7312,1,3,BREAD/BAKERY,1333307,2010.0,53014.508
7313,7313,1,3,BREAD/BAKERY,1415679,228.0,53014.508
7314,7314,1,3,BREAD/BAKERY,1453122,85.0,53014.508
7315,7315,1,3,BREAD/BAKERY,1453123,148.0,53014.508
7316,7316,1,3,BREAD/BAKERY,1453124,142.0,53014.508
7317,7317,1,3,BREAD/BAKERY,1454707,111.0,53014.508
7318,7318,1,3,BREAD/BAKERY,1454708,116.0,53014.508
7319,7319,1,3,BREAD/BAKERY,1457840,350.0,53014.508
7320,7320,1,3,BREAD/BAKERY,1916577,253.0,53014.508
7321,7321,1,3,BREAD/BAKERY,1916578,83.0,53014.508
7322,7322,1,3,BREAD/BAKERY,1916579,95.0,53014.508
7323,7323,1,3,BREAD/BAKERY,1932980,163.0,53014.508
7324,7324,1,3,BREAD/BAKERY,1940454,112.0,53014.508
7325,7325,1,3,BREAD/BAKERY,1958713,145.0,53014.508
7326,7326,1,3,BREAD/BAKERY,1963740,166.0,53014.508
7327,7327,1,3,BREAD/BAKERY,1973454,187.0,53014.508
7328,7328,1,3,BREAD/BAKERY,1973543,102.0,53014.508
7329,7329,1,3,BREAD/BAKERY,1973587,147.0,53014.508
7330,7330,1,3,BREAD/BAKERY,1978835,582.0,53014.508
7331,7331,1,3,BREAD/BAKERY,1989798,142.0,53014.508
7332,7332,1,3,BREAD/BAKERY,1998005,281.0,53014.508
10602,10602,1,4,BREAD/BAKERY,103665,432.0,51044.934
10603,10603,1,4,BREAD/BAKERY,153239,127.0,51044.934
10604,10604,1,4,BREAD/BAKERY,153395,213.0,51044.934
10605,10605,1,4,BREAD/BAKERY,153398,399.0,51044.934
10606,10606,1,4,BREAD/BAKERY,165718,524.0,51044.934
10607,10607,1,4,BREAD/BAKERY,215370,301.0,51044.934
10608,10608,1,4,BREAD/BAKERY,253103,25.0,51044.934
10609,10609,1,4,BREAD/BAKERY,265279,619.0,51044.934
10610,10610,1,4,BREAD/BAKERY,269084,388.0,51044.934
10611,10611,1,4,BREAD/BAKERY,302952,323.0,51044.934
10612,10612,1,4,BREAD/BAKERY,310644,2272.0,51044.934
10613,10613,1,4,BREAD/BAKERY,310647,181.0,51044.934
10614,10614,1,4,BREAD/BAKERY,311994,3911.934,51044.934
10615,10615,1,4,BREAD/BAKERY,312113,380.0,51044.934
10616,10616,1,4,BREAD/BAKERY,315473,1.0,51044.934
10617,10617,1,4,BREAD/BAKERY,315474,546.0,51044.934
10618,10618,1,4,BREAD/BAKERY,359913,621.0,51044.934
10619,10619,1,4,BREAD/BAKERY,360313,423.0,51044.934
10620,10620,1,4,BREAD/BAKERY,360314,1004.0,51044.934
10621,10621,1,4,BREAD/BAKERY,402299,6.0,51044.934
10622,10622,1,4,BREAD/BAKERY,409738,1095.0,51044.934
10623,10623,1,4,BREAD/BAKERY,409739,180.0,51044.934
10624,10624,1,4,BREAD/BAKERY,414478,306.0,51044.934
10625,10625,1,4,BREAD/BAKERY,452212,1155.0,51044.934
10626,10626,1,4,BREAD/BAKERY,459762,427.0,51044.934
10627,10627,1,4,BREAD/BAKERY,464385,376.0,51044.934
10628,10628,1,4,BREAD/BAKERY,502182,177.0,51044.934
10629,10629,1,4,BREAD/BAKERY,502331,2843.0,51044.934
10630,10630,1,4,BREAD/BAKERY,511172,34.0,51044.934
10631,10631,1,4,BREAD/BAKERY,552050,204.0,51044.934
10632,10632,1,4,BREAD/BAKERY,559044,461.0,51044.934
10633,10633,1,4,BREAD/BAKERY,559494,400.0,51044.934
10634,10634,1,4,BREAD/BAKERY,564287,1362.0,51044.934
10635,10635,1,4,BREAD/BAKERY,564288,551.0,51044.934
10636,10636,1,4,BREAD/BAKERY,594045,230.0,51044.934
10637,10637,1,4,BREAD/BAKERY,679602,408.0,51044.934
10638,10638,1,4,BREAD/BAKERY,679603,297.0,51044.934
10639,10639,1,4,BREAD/BAKERY,679604,287.0,51044.934
10640,10640,1,4,BREAD/BAKERY,696183,251.0,51044.934
10641,10641,1,4,BREAD/BAKERY,724360,668.0,51044.934
10642,10642,1,4,BREAD/BAKERY,724403,417.0,51044.934
10643,10643,1,4,BREAD/BAKERY,736128,327.0,51044.934
10644,10644,1,4,BREAD/BAKERY,809882,586.0,51044.934
10645,10645,1,4,BREAD/BAKERY,823245,481.0,51044.934
10646,10646,1,4,BREAD/BAKERY,830806,408.0,51044.934
10647,10647,1,4,BREAD/BAKERY,841197,2991.0,51044.934
10648,10648,1,4,BREAD/BAKERY,847894,942.0,51044.934
10649,10649,1,4,BREAD/BAKERY,858872,126.0,51044.934
10650,10650,1,4,BREAD/BAKERY,888682,841.0,51044.934
10651,10651,1,4,BREAD/BAKERY,888689,316.0,51044.934
10652,10652,1,4,BREAD/BAKERY,913526,18.0,51044.934
10653,10653,1,4,BREAD/BAKERY,983310,248.0,51044.934
10654,10654,1,4,BREAD/BAKERY,986193,632.0,51044.934
10655,10655,1,4,BREAD/BAKERY,1033395,588.0,51044.934
10656,10656,1,4,BREAD/BAKERY,1038937,365.0,51044.934
10657,10657,1,4,BREAD/BAKERY,1038945,574.0,51044.934
10658,10658,1,4,BREAD/BAKERY,1038946,468.0,51044.934
10659,10659,1,4,BREAD/BAKERY,1038950,410.0,51044.934
10660,10660,1,4,BREAD/BAKERY,1038952,646.0,51044.934
10661,10661,1,4,BREAD/BAKERY,1038953,449.0,51044.934
10662,10662,1,4,BREAD/BAKERY,1038954,125.0,51044.934
10663,10663,1,4,BREAD/BAKERY,1038962,457.0,51044.934
10664,10664,1,4,BREAD/BAKERY,1045449,356.0,51044.934
10665,10665,1,4,BREAD/BAKERY,1072173,381.0,51044.934
10666,10666,1,4,BREAD/BAKERY,1089843,711.0,51044.934
10667,10667,1,4,BREAD/BAKERY,1089844,481.0,51044.934
10668,10668,1,4,BREAD/BAKERY,1092008,99.0,51044.934
10669,10669,1,4,BREAD/BAKERY,1149579,447.0,51044.934
10670,10670,1,4,BREAD/BAKERY,1179117,17.0,51044.934
10671,10671,1,4,BREAD/BAKERY,1179119,1.0,51044.934
10672,10672,1,4,BREAD/BAKERY,1179579,327.0,51044.934
10673,10673,1,4,BREAD/BAKERY,1179580,307.0,51044.934
10674,10674,1,4,BREAD/BAKERY,1179581,296.0,51044.934
10675,10675,1,4,BREAD/BAKERY,1210038,363.0,51044.934
10676,10676,1,4,BREAD/BAKERY,1279049,849.0,51044.934
10677,10677,1,4,BREAD/BAKERY,1303141,278.0,51044.934
10678,10678,1,4,BREAD/BAKERY,1309245,796.0,51044.934
10679,10679,1,4,BREAD/BAKERY,1309246,1207.0,51044.934
10680,10680,1,4,BREAD/BAKERY,1309560,196.0,51044.934
10681,10681,1,4,BREAD/BAKERY,1313222,516.0,51044.934
10682,10682,1,4,BREAD/BAKERY,1313223,733.0,51044.934
10683,10683,1,4,BREAD/BAKERY,1321497,232.0,51044.934
10684,10684,1,4,BREAD/BAKERY,1333307,1876.0,51044.934
10685,10685,1,4,BREAD/BAKERY,1415679,223.0,51044.934
10686,10686,1,4,BREAD/BAKERY,1453122,96.0,51044.934
10687,10687,1,4,BREAD/BAKERY,1453123,116.0,51044.934
10688,10688,1,4,BREAD/BAKERY,1453124,126.0,51044.934
10689,10689,1,4,BREAD/BAKERY,1454707,110.0,51044.934
10690,10690,1,4,BREAD/BAKERY,1454708,91.0,51044.934
10691,10691,1,4,BREAD/BAKERY,1457840,297.0,51044.934
10692,10692,1,4,BREAD/BAKERY,1916577,253.0,51044.934
10693,10693,1,4,BREAD/BAKERY,1916578,88.0,51044.934
10694,10694,1,4,BREAD/BAKERY,1916579,111.0,51044.934
10695,10695,1,4,BREAD/BAKERY,1932980,302.0,51044.934
10696,10696,1,4,BREAD/BAKERY,1940454,110.0,51044.934
10697,10697,1,4,BREAD/BAKERY,1940466,11.0,51044.934
10698,10698,1,4,BREAD/BAKERY,1958713,118.0,51044.934
10699,10699,1,4,BREAD/BAKERY,1963740,225.0,51044.934
10700,10700,1,4,BREAD/BAKERY,1973454,145.0,51044.934
10701,10701,1,4,BREAD/BAKERY,1973543,100.0,51044.934
10702,10702,1,4,BREAD/BAKERY,1973587,89.0,51044.934
10703,10703,1,4,BREAD/BAKERY,1978835,792.0,51044.934
10704,10704,1,4,BREAD/BAKERY,1989798,80.0,51044.934
10705,10705,1,4,BREAD/BAKERY,1998005,269.0,51044.934
13997,13997,1,5,BREAD/BAKERY,103665,441.0,52019.227
13998,13998,1,5,BREAD/BAKERY,153239,177.0,52019.227
13999,13999,1,5,BREAD/BAKERY,153395,176.0,52019.227
14000,14000,1,5,BREAD/BAKERY,153398,428.0,52019.227
14001,14001,1,5,BREAD/BAKERY,165718,396.0,52019.227
14002,14002,1,5,BREAD/BAKERY,215370,371.0,52019.227
14003,14003,1,5,BREAD/BAKERY,253103,81.0,52019.227
14004,14004,1,5,BREAD/BAKERY,265279,606.0,52019.227
14005,14005,1,5,BREAD/BAKERY,269084,378.0,52019.227
14006,14006,1,5,BREAD/BAKERY,302952,299.0,52019.227
14007,14007,1,5,BREAD/BAKERY,310644,2289.0,52019.227
14008,14008,1,5,BREAD/BAKERY,310647,148.0,52019.227
14009,14009,1,5,BREAD/BAKERY,311994,4097.225,52019.227
